SampleDate,N/PMMoV,City,positives,Testing,NormalizedConc_crude,NormalizedConc,positives_crude
2021-09-09,0.00010133333333333333,Davis,15.0,1983.0,0.00010133333333333333,0.00010133333333333333,15.0
2021-09-10,0.0,Davis,3.0,2276.0,0.0,0.0,3.0
2021-09-11,0.00016166666666666665,Davis,5.0,1574.0,0.00016166666666666665,0.00016166666666666665,5.0
2021-09-12,0.0,Davis,4.0,803.0,0.0,0.0,4.0
2021-09-13,0.0,Davis,5.0,1131.0,0.0,0.0,5.0
2021-09-14,0.0,Davis,9.0,1710.0,0.0,0.0,9.0
2021-09-15,0.0,Davis,8.0,2045.0,0.0,0.0,8.0
2021-09-16,,Davis,3.0,1587.0,,0.0,3.0
2021-09-17,,Davis,6.0,1767.0,,0.0,6.0
2021-09-18,,Davis,6.0,1846.0,,0.0,6.0
2021-09-19,,Davis,8.0,1046.0,,0.0,8.0
2021-09-20,,Davis,5.0,1091.0,,0.0,5.0
2021-09-21,,Davis,9.0,1913.0,,0.0,9.0
2021-09-22,,Davis,7.0,2141.0,,0.0,7.0
2021-09-23,,Davis,5.0,1267.0,,0.0,5.0
2021-09-24,,Davis,14.0,2319.0,,0.0,14.0
2021-09-25,,Davis,3.0,1431.0,,0.0,3.0
2021-09-26,,Davis,4.0,849.0,,0.0,4.0
2021-09-27,,Davis,4.0,1026.0,,0.0,4.0
2021-09-28,,Davis,8.0,1564.0,,0.0,8.0
2021-09-29,,Davis,9.0,2326.0,,0.0,9.0
2021-09-30,,Davis,0.0,1127.0,,0.0,0.0
2021-10-01,,Davis,11.0,2525.0,,0.0,11.0
2021-10-02,,Davis,3.0,1392.0,,0.0,3.0
2021-10-03,,Davis,7.0,724.0,,0.0,7.0
2021-10-04,,Davis,6.0,500.0,,0.0,6.0
2021-10-05,,Davis,7.0,2374.0,,0.0,7.0
2021-10-06,,Davis,6.0,2062.0,,0.0,6.0
2021-10-07,0.0,Davis,4.0,1475.0,0.0,0.0,4.0
2021-10-08,0.0,Davis,3.0,1794.0,0.0,0.0,3.0
2021-10-09,0.0,Davis,1.0,1506.0,0.0,0.0,1.0
2021-10-10,0.0,Davis,1.0,625.0,0.0,0.0,1.0
2021-10-11,0.0,Davis,4.0,934.0,0.0,0.0,4.0
2021-10-12,0.0,Davis,7.0,1422.0,0.0,0.0,7.0
2021-10-13,0.0,Davis,7.0,2024.0,0.0,0.0,7.0
2021-10-14,0.0,Davis,3.0,1630.0,0.0,0.0,3.0
2021-10-15,0.0,Davis,6.0,2434.0,0.0,0.0,6.0
2021-10-16,0.0,Davis,2.0,1267.0,0.0,0.0,2.0
2021-10-17,0.0,Davis,3.0,335.0,0.0,0.0,3.0
2021-10-18,0.0,Davis,3.0,952.0,0.0,0.0,3.0
2021-10-19,0.0,Davis,4.0,1062.0,0.0,0.0,4.0
2021-10-20,0.0,Davis,8.0,2417.0,0.0,0.0,8.0
2021-10-21,0.0,Davis,10.0,1571.0,0.0,0.0,10.0
2021-10-22,0.0,Davis,9.0,2160.0,0.0,0.0,9.0
2021-10-23,0.0,Davis,3.0,1276.0,0.0,0.0,3.0
2021-10-24,0.0,Davis,7.0,499.0,0.0,0.0,7.0
2021-10-25,0.0,Davis,4.0,1027.0,0.0,0.0,4.0
2021-10-26,0.001177,Davis,6.0,1778.0,0.001177,0.001177,6.0
2021-10-27,0.0,Davis,11.0,2185.0,0.0,0.0,11.0
2021-10-28,0.0,Davis,2.0,1467.0,0.0,0.0,2.0
2021-10-29,0.0,Davis,8.0,1749.0,0.0,0.0,8.0
2021-10-30,0.0,Davis,3.0,1309.0,0.0,0.0,3.0
2021-10-31,0.0,Davis,0.0,407.0,0.0,0.0,0.0
2021-11-01,0.001376,Davis,7.0,1108.0,0.001376,0.001376,7.0
2021-11-02,0.0,Davis,0.0,1643.0,0.0,0.0,0.0
2021-11-03,0.0,Davis,6.0,2102.0,0.0,0.0,6.0
2021-11-04,0.0,Davis,3.0,1473.0,0.0,0.0,3.0
2021-11-05,0.0008806666666666668,Davis,6.0,1782.0,0.0008806666666666668,0.0008806666666666668,6.0
2021-11-06,0.0,Davis,1.0,1173.0,0.0,0.0,1.0
2021-11-07,0.0,Davis,2.0,735.0,0.0,0.0,2.0
2021-11-08,0.0,Davis,1.0,290.0,0.0,0.0,1.0
2021-11-09,0.0,Davis,3.0,2409.0,0.0,0.0,3.0
2021-11-10,0.0,Davis,6.0,2317.0,0.0,0.0,6.0
2021-11-11,0.0,Davis,0.0,219.0,0.0,0.0,0.0
2021-11-12,0.00010499999999999999,Davis,1.0,1738.0,0.00010499999999999999,0.00010499999999999999,1.0
2021-11-13,0.0,Davis,1.0,1100.0,0.0,0.0,1.0
2021-11-14,0.0,Davis,1.0,583.0,0.0,0.0,1.0
2021-11-15,0.00027233333333333336,Davis,3.0,1022.0,0.00027233333333333336,0.00027233333333333336,3.0
2021-11-16,0.00010766666666666666,Davis,5.0,1666.0,0.00010766666666666666,0.00010766666666666666,5.0
2021-11-17,0.0,Davis,2.0,1604.0,0.0,0.0,2.0
2021-11-18,0.0,Davis,3.0,1312.0,0.0,0.0,3.0
2021-11-19,0.00048533333333333333,Davis,3.0,1739.0,0.00048533333333333333,0.00048533333333333333,3.0
2021-11-20,0.0,Davis,1.0,1232.0,0.0,0.0,1.0
2021-11-21,0.0,Davis,3.0,576.0,0.0,0.0,3.0
2021-11-22,0.0,Davis,4.0,720.0,0.0,0.0,4.0
2021-11-23,0.0,Davis,4.0,1520.0,0.0,0.0,4.0
2021-11-24,0.0,Davis,7.0,1365.0,0.0,0.0,7.0
2021-11-25,0.00014950913190000002,Davis,0.0,,0.00014950913190000002,0.00014950913190000002,0.0
2021-11-26,8.857582763333332e-05,Davis,1.0,53.0,8.857582763333332e-05,8.857582763333332e-05,1.0
